idx,random_idx0,random_idx1,random_idx2,random_idx3,random_idx4,random_idx5,random_idx6,random_idx7,random_idx8,random_idx9
0,149,935,151,727,1002,396,553,971,933,398
1,887,653,215,709,611,1043,858,424,490,602
2,1021,26,406,345,914,746,41,701,507,25
3,219,433,896,191,579,321,54,932,726,435
4,539,356,448,113,928,973,76,314,590,137
5,826,712,527,693,436,199,125,295,576,557
6,157,853,942,730,1038,913,903,627,383,643
7,503,92,26,11,257,925,9,889,905,860
8,597,1013,339,16,895,172,83,893,136,136
9,709,612,455,346,274,725,184,34,574,90
10,7,242,671,203,926,267,75,558,786,415
11,441,429,529,271,691,218,494,45,979,26
12,799,915,566,440,67,60,254,601,599,154
13,1011,560,401,381,724,176,560,656,282,269
14,197,62,479,530,800,537,531,1018,19,334
15,940,30,344,368,1010,137,218,924,504,915
16,603,415,912,641,1012,320,253,477,521,867
17,1020,132,219,164,823,555,602,713,189,799
18,14,410,767,169,307,747,332,367,703,886
19,699,770,904,984,916,992,606,1046,937,464
20,811,1008,148,865,116,840,279,637,713,909
21,303,818,274,175,754,521,81,529,956,168
22,34,619,127,199,654,887,736,43,422,630
23,961,430,269,1005,100,818,425,638,844,605
24,88,519,408,116,413,291,438,880,520,361
25,927,582,502,333,746,861,392,135,360,887
26,689,426,930,616,650,204,174,497,857,660
27,581,305,604,264,995,682,493,670,863,664
28,169,850,599,431,300,139,354,204,575,248
29,852,56,717,111,489,1008,510,145,267,852
30,23,682,576,406,110,693,146,981,1049,9
31,338,614,129,35,765,720,674,1047,402,121
32,874,688,385,602,452,1026,240,392,469,173
33,286,159,250,809,801,202,705,973,543,83
34,875,336,247,515,679,551,144,983,180,229
35,636,819,667,1018,416,657,646,346,829,848
36,43,96,80,828,539,205,797,164,365,776
37,545,960,362,491,14,392,32,416,265,593
38,751,973,367,911,228,24,304,785,1046,894
39,692,1,241,805,570,948,99,292,745,699
40,998,44,793,391,80,989,888,279,586,5
41,856,482,876,749,1052,792,468,566,1051,774
42,436,856,738,168,319,440,603,332,535,106
43,908,627,1029,640,75,595,546,1002,851,181
44,578,615,858,261,1039,751,802,16,397,777
45,113,123,966,69,739,195,1009,188,821,1045
46,93,172,665,957,206,62,943,489,1047,707
47,389,437,872,51,1051,761,907,1003,356,717
48,112,298,570,740,339,789,299,900,524,198
49,946,859,818,162,479,200,699,1023,95,523
